ID_Cliente,Data_Entrada,Plano,Nota,Feedback
1,20222-01-27,semestral,3.0,"Não estou satisfeito, vou cancelar em breve."
2,202-05-18,semestral,,"Excelente serviço, recomendo a todos!"
3,2002-02-14,anual,0.0,"Serviço razoável, mas pode melhorar."
4, ,mensal,2.0,"Não estou satisfeito, vou cancelar em breve."
5, ,semestral,1.0,"O serviço é bom, mas poderia ser mais barato."
6,"Dezembro de 2022",mensal,3.0,"Serviço razoável, mas pode melhorar."
7,2022-01-20,semestral,5.0,
8,2022-07-14,semestral,5.0,"O serviço é bom, mas poderia ser mais barato."
9,2022-10-02,semestral,0.0,
10,2022-10-15,mensal,1.0,aaaaaaa
11,2022-06-20,semestral,0.0,kkkkk
12,2022-06-24,mensal,3.0,"Regular, às vezes tem problemas de conexão."
13,2022-01-27,semestral,,zzzzzzz
14,2022-03-23,anual,2.0,"Regular, às vezes tem problemas de conexão."
15,2022-03-11,semestral,4.0,b
16,2022-06-22,anual,4.0,b
17,2022-10-15,anual,0.0,a
18,2022-06-20,semestral,3.0,Muito satisfeito com o serviço!
19,2022-12-26,semestral,4.0,"Excelente serviço, recomendo a todos!"
20,2022-05-06,semestral,2.0,"Serviço razoável, mas pode melhorar."
21,2022-03-25,mensal,2.0,b
22,2022-01-01,semestral,2.0,
23,2022-08-12,anual,1.0,a
24,2022-02-14,anual,3.0,"Não estou satisfeito, vou cancelar em breve."
25,2022-11-02,mensal,0.0,.
26,2022-07-13,mensal,0.0,"Regular, às vezes tem problemas de conexão."
27,2022-02-05,anual,4.0,"Serviço razoável, mas pode melhorar."
28,2022-01-04,semestral,,Muito satisfeito com o serviço!
29,2022-06-11,mensal,,"Serviço razoável, mas pode melhorar."
30,2022-08-18,anual,0.0,"Serviço razoável, mas pode melhorar."
31,2022-02-22,anual,4.0,b
32,2022-01-23,semestral,5.0,
33,2022-02-17,anual,2.0,"Serviço razoável, mas pode melhorar."
34,2022-12-08,mensal,5.0,"O serviço é bom, mas poderia ser mais barato."
35,2022-03-14,semestral,0.0,Muito satisfeito com o serviço!
36,2022-03-06,mensal,,
37,2022-01-11,anual,5.0,b
38,2022-05-30,mensal,1.0,
39,2022-08-09,mensal,3.0,a
40,2022-10-21,semestral,1.0,
41,2022-09-02,semestral,3.0,
42,2022-05-16,semestral,1.0,"Não estou satisfeito, vou cancelar em breve."
43,2022-08-29,mensal,3.0,b
44,2022-01-19,anual,1.0,
45,2022-06-06,anual,,"Não estou satisfeito, vou cancelar em breve."
46,2022-06-25,semestral,,"Regular, às vezes tem problemas de conexão."
47,2022-09-25,anual,0.0,a
48,2022-09-05,mensal,1.0,Muito satisfeito com o serviço!
49,2022-04-16,semestral,,a
50,2022-11-08,mensal,,a
51,2022-11-24,mensal,0.0,.
52,2022-09-27,mensal,2.0,"Excelente serviço, recomendo a todos!"
53,2022-10-17,mensal,0.0,"Regular, às vezes tem problemas de conexão."
54,2022-06-11,semestral,0.0,.
55,2022-01-07,semestral,1.0,a
56,2022-07-23,mensal,1.0,
57,2022-11-27,mensal,3.0,"O serviço é bom, mas poderia ser mais barato."
58,2022-09-20,mensal,3.0,"Excelente serviço, recomendo a todos!"
59,2022-08-11,semestral,1.0,"O serviço é bom, mas poderia ser mais barato."
60,2022-12-17,anual,5.0,"Excelente serviço, recomendo a todos!"
61,2022-10-03,semestral,3.0,zzzzzz
62,2022-11-23,anual,0.0,"Serviço razoável, mas pode melhorar."
63,2022-12-08,semestral,0.0,
64,2022-11-02,semestral,1.0,Muito satisfeito com o serviço!
65,2022-09-06,semestral,0.0,a
66,2022-09-24,semestral,3.0,Muito satisfeito com o serviço!
67,2022-12-09,mensal,5.0,"Serviço razoável, mas pode melhorar."
68,2022-08-03,semestral,0.0,a
69,2022-07-11,mensal,1.0,"Excelente serviço, recomendo a todos!"
70,2022-09-19,anual,5.0,"O serviço é bom, mas poderia ser mais barato."
71,2022-01-17,semestral,0.0,b
72,2022-11-27,semestral,2.0,"Serviço razoável, mas pode melhorar."
73,2022-04-03,semestral,3.0,
74,2022-02-12,mensal,,"Não estou satisfeito, vou cancelar em breve."
75,2022-09-07,mensal,,b
76,2022-12-03,semestral,1.0,"Excelente serviço, recomendo a todos!"
77,2022-05-15,anual,,b
78,2022-03-29,semestral,1.0,"Serviço razoável, mas pode melhorar."
